weekday,weekday_name,hour,hour_weight,daily_weight,raw_weight
4,Vendredi,8,0.025,1.03,0.025750000000000002
4,Vendredi,9,0.091666666667,1.03,0.09441666666701001
4,Vendredi,10,0.066666666667,1.03,0.06866666666701
4,Vendredi,11,0.058333333333,1.03,0.06008333333299
4,Vendredi,12,0.0625,1.03,0.064375
4,Vendredi,13,0.1,1.03,0.10300000000000001
4,Vendredi,14,0.116666666667,1.03,0.12016666666701001
4,Vendredi,15,0.083333333333,1.03,0.08583333333299
4,Vendredi,16,0.05,1.03,0.051500000000000004
4,Vendredi,17,0.041666666667,1.03,0.04291666666701
4,Vendredi,18,0.058333333333,1.03,0.06008333333299
4,Vendredi,19,0.075,1.03,0.07725
4,Vendredi,20,0.070833333333,1.03,0.07295833333299
4,Vendredi,21,0.05,1.03,0.051500000000000004
4,Vendredi,22,0.020833333333,1.03,0.021458333332990003
4,Vendredi,23,0.008333333333,1.03,0.008583333332989999
4,Vendredi,24,0.01,1.03,0.0103
5,Samedi,1,0.001666666667,0.92,0.00153333333364
5,Samedi,2,0.001666666667,0.92,0.00153333333364
5,Samedi,3,0.0,0.92,0.0
5,Samedi,4,0.0,0.92,0.0
5,Samedi,5,0.000833333333,0.92,0.00076666666636
5,Samedi,6,0.001666666667,0.92,0.00153333333364
5,Samedi,7,0.005,0.92,0.0046
5,Samedi,8,0.025,0.92,0.023000000000000003
5,Samedi,9,0.091666666667,0.92,0.08433333333364001
5,Samedi,10,0.066666666667,0.92,0.06133333333364
5,Samedi,11,0.058333333333,0.92,0.05366666666636
5,Samedi,12,0.0625,0.92,0.0575
5,Samedi,13,0.1,0.92,0.09200000000000001
5,Samedi,14,0.116666666667,0.92,0.10733333333364001
5,Samedi,15,0.083333333333,0.92,0.07666666666636
5,Samedi,16,0.05,0.92,0.046000000000000006
5,Samedi,17,0.041666666667,0.92,0.03833333333364
5,Samedi,18,0.058333333333,0.92,0.05366666666636
5,Samedi,19,0.075,0.92,0.069
5,Samedi,20,0.070833333333,0.92,0.06516666666636
5,Samedi,21,0.05,0.92,0.046000000000000006
5,Samedi,22,0.020833333333,0.92,0.01916666666636
5,Samedi,23,0.008333333333,0.92,0.007666666666359999
5,Samedi,24,0.01,0.92,0.0092
6,Dimanche,1,0.001666666667,0.92,0.00153333333364
6,Dimanche,2,0.001666666667,0.92,0.00153333333364
6,Dimanche,3,0.0,0.92,0.0
6,Dimanche,4,0.0,0.92,0.0
6,Dimanche,5,0.000833333333,0.92,0.00076666666636
6,Dimanche,6,0.001666666667,0.92,0.00153333333364
6,Dimanche,7,0.005,0.92,0.0046
6,Dimanche,8,0.025,0.92,0.023000000000000003
