weekday,weekday_name,hour,hour_weight,daily_weight,raw_weight
0,Lundi,1,0.0,0.8128245936173019,0.0
0,Lundi,2,0.0,0.8128245936173019,0.0
0,Lundi,3,0.0,0.8128245936173019,0.0
0,Lundi,4,0.0,0.8128245936173019,0.0
0,Lundi,5,0.0,0.8128245936173019,0.0
0,Lundi,6,0.0,0.8128245936173019,0.0
0,Lundi,7,0.0,0.8128245936173019,0.0
0,Lundi,8,0.0,0.8128245936173019,0.0
0,Lundi,9,0.08556779879396659,0.8128245936173019,0.06955161128143295
0,Lundi,10,0.060838059441616216,0.8128245936173019,0.04945067094209696
0,Lundi,11,0.09578683963259152,0.8128245936173019,0.07785789899824687
0,Lundi,12,0.1538185775571579,0.8128245936173019,0.12502752279368828
0,Lundi,13,0.14033467006679004,0.8128245936173019,0.11406747116745675
0,Lundi,14,0.08090023674642674,0.8128245936173019,0.06575770205695783
0,Lundi,15,0.12962733555123968,0.8128245936173019,0.10536428634113001
0,Lundi,16,0.08767680115986107,0.8128245936173019,0.07126586027242905
0,Lundi,17,0.103441860602027,0.8128245936173019,0.08408008830686017
0,Lundi,18,0.06136105623826718,0.8128245936173019,0.04987577560079793
0,Lundi,19,0.0006467642100560606,0.8128245936173019,0.0005257058562050328
0,Lundi,20,0.0,0.8128245936173019,0.0
0,Lundi,21,0.0,0.8128245936173019,0.0
0,Lundi,22,0.0,0.8128245936173019,0.0
0,Lundi,23,0.0,0.8128245936173019,0.0
0,Lundi,24,0.0,0.8128245936173019,0.0
1,Mardi,1,0.0,1.044905022540047,0.0
1,Mardi,2,0.0,1.044905022540047,0.0
1,Mardi,3,0.0,1.044905022540047,0.0
1,Mardi,4,0.0,1.044905022540047,0.0
1,Mardi,5,0.0,1.044905022540047,0.0
1,Mardi,6,0.0,1.044905022540047,0.0
1,Mardi,7,0.0,1.044905022540047,0.0
1,Mardi,8,0.0,1.044905022540047,0.0
1,Mardi,9,0.08556779879396659,1.044905022540047,0.08941022272751185
1,Mardi,10,0.060838059441616216,1.044905022540047,0.0635699938721347
1,Mardi,11,0.09578683963259152,1.044905022540047,0.1000881498253329
1,Mardi,12,0.1538185775571579,1.044905022540047,0.16072580424944002
1,Mardi,13,0.14033467006679004,1.044905022540047,0.14663640158928928
1,Mardi,14,0.08090023674642674,1.044905022540047,0.08453306370102016
1,Mardi,15,0.12962733555123968,1.044905022540047,0.13544825397597432
1,Mardi,16,0.08767680115986107,1.044905022540047,0.09161392989218384
1,Mardi,17,0.103441860602027,1.044905022540047,0.1080869196839454
1,Mardi,18,0.06136105623826718,1.044905022540047,0.06411647585172765
1,Mardi,19,0.0006467642100560606,1.044905022540047,0.0006758071714867236
1,Mardi,20,0.0,1.044905022540047,0.0
1,Mardi,21,0.0,1.044905022540047,0.0
1,Mardi,22,0.0,1.044905022540047,0.0
1,Mardi,23,0.0,1.044905022540047,0.0
1,Mardi,24,0.0,1.044905022540047,0.0
2,Mercredi,1,0.0,1.3960852974898998,0.0
2,Mercredi,2,0.0,1.3960852974898998,0.0
2,Mercredi,3,0.0,1.3960852974898998,0.0
2,Mercredi,4,0.0,1.3960852974898998,0.0
2,Mercredi,5,0.0,1.3960852974898998,0.0
2,Mercredi,6,0.0,1.3960852974898998,0.0
2,Mercredi,7,0.0,1.3960852974898998,0.0
2,Mercredi,8,0.0,1.3960852974898998,0.0
2,Mercredi,9,0.08556779879396659,1.3960852974898998,0.11945994583483073
2,Mercredi,10,0.060838059441616216,1.3960852974898998,0.08493512031425698
2,Mercredi,11,0.09578683963259152,1.3960852974898998,0.13372659850408386
2,Mercredi,12,0.1538185775571579,1.3960852974898998,0.21474385460835801
2,Mercredi,13,0.14033467006679004,1.3960852974898998,0.19591916960834152
2,Mercredi,14,0.08090023674642674,1.3960852974898998,0.1129436310851385
2,Mercredi,15,0.12962733555123968,1.3960852974898998,0.18097081731587553
2,Mercredi,16,0.08767680115986107,1.3960852974898998,0.12240429303022743
2,Mercredi,17,0.103441860602027,1.3960852974898998,0.14441366073148962
2,Mercredi,18,0.06136105623826718,1.3960852974898998,0.08566526845269572
2,Mercredi,19,0.0006467642100560606,1.3960852974898998,0.0009029380046019355
2,Mercredi,20,0.0,1.3960852974898998,0.0
2,Mercredi,21,0.0,1.3960852974898998,0.0
2,Mercredi,22,0.0,1.3960852974898998,0.0
2,Mercredi,23,0.0,1.3960852974898998,0.0
2,Mercredi,24,0.0,1.3960852974898998,0.0
3,Jeudi,1,0.0,1.1246891929032812,0.0
3,Jeudi,2,0.0,1.1246891929032812,0.0
3,Jeudi,3,0.0,1.1246891929032812,0.0
3,Jeudi,4,0.0,1.1246891929032812,0.0
3,Jeudi,5,0.0,1.1246891929032812,0.0
3,Jeudi,6,0.0,1.1246891929032812,0.0
3,Jeudi,7,0.0,1.1246891929032812,0.0
3,Jeudi,8,0.0,1.1246891929032812,0.0
3,Jeudi,9,0.08556779879396659,1.1246891929032812,0.09623717856409664
3,Jeudi,10,0.060838059441616216,1.1246891929032812,0.06842390797119319
3,Jeudi,11,0.09578683963259152,1.1246891929032812,0.10773042335713538
3,Jeudi,12,0.1538185775571579,1.1246891929032812,0.17299809184629067
3,Jeudi,13,0.14033467006679004,1.1246891929032812,0.15783288681376634
3,Jeudi,14,0.08090023674642674,1.1246891929032812,0.09098762197202306
