manufacturer,model,nominal_power_kw,curve_id,T_source_in_C,T_sink_value_C,T_sink_convention,P_heat_kW,P_el_kW,COP,source_document,source_page,provenance,estimated_uncertainty_pct,notes,source_flow_m3h,sink_flow_m3h,flow_provenance,sink_outlet_max_C
Heliopac,Solerpac i-15,15,Teau_entree_22C,-5,22,sink_in,9.78,2.149,4.551,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,-5,30,sink_in,9.78,2.7349,3.576,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,-5,40,sink_in,9.78,3.2384,3.02,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,-5,47,sink_in,9.78,3.7601,2.601,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,-5,55,sink_in,9.78,4.6285,2.113,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,0,22,sink_in,11.15,2.1893,5.093,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,0,30,sink_in,11.15,2.7076,4.118,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,0,40,sink_in,11.15,3.4297,3.251,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,0,47,sink_in,11.15,3.9581,2.817,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,0,55,sink_in,11.15,4.8989,2.276,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,5,22,sink_in,13.0,2.2636,5.743,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,5,30,sink_in,13.0,2.8565,4.551,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,5,40,sink_in,13.0,3.5288,3.684,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,5,47,sink_in,13.0,3.9988,3.251,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,5,55,sink_in,13.0,4.9981,2.601,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,10,22,sink_in,15.0,2.1972,6.827,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,10,30,sink_in,15.0,2.8841,5.201,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,10,40,sink_in,15.0,3.5495,4.226,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,10,47,sink_in,15.0,4.1946,3.576,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,10,55,sink_in,15.0,5.3248,2.817,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,15,22,sink_in,15.0,1.7523,8.56,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,15,30,sink_in,15.0,2.4073,6.231,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,15,40,sink_in,15.0,3.296,4.551,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,15,47,sink_in,15.0,3.6425,4.118,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,15,55,sink_in,15.0,4.614,3.251,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,20,22,sink_in,15.0,1.4126,10.619,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,20,30,sink_in,15.0,1.9776,7.585,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,20,40,sink_in,15.0,2.7685,5.418,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,20,47,sink_in,15.0,3.296,4.551,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,20,55,sink_in,15.0,4.1946,3.576,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,25,22,sink_in,15.0,1.0987,13.653,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,25,30,sink_in,15.0,1.442,10.402,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,25,40,sink_in,15.0,1.9498,7.693,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,25,47,sink_in,15.0,2.6119,5.743,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,25,55,sink_in,15.0,3.5495,4.226,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,30,22,sink_in,15.0,0.8734,17.175,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,30,30,sink_in,15.0,1.1119,13.491,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,30,40,sink_in,15.0,1.442,10.402,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,30,47,sink_in,15.0,2.0973,7.152,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,30,55,sink_in,15.0,3.009,4.985,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,35,22,sink_in,15.0,0.7247,20.697,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,35,30,sink_in,15.0,0.8989,16.687,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,35,40,sink_in,15.0,1.1255,13.328,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,35,47,sink_in,15.0,1.7523,8.56,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,35,55,sink_in,15.0,2.6619,5.635,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,40,22,sink_in,15.0,0.6208,24.164,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,40,30,sink_in,15.0,0.7523,19.938,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,40,40,sink_in,15.0,0.9417,15.929,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_47C,40,47,sink_in,15.0,1.5047,9.969,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_55C,40,55,sink_in,15.0,2.3463,6.393,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_22C,45,22,sink_in,15.0,0.5386,27.848,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_30C,45,30,sink_in,15.0,0.6499,23.08,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-15,15,Teau_entree_40C,45,40,sink_in,15.0,0.8002,18.746,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.5,2.5,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
